Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
114-536-635-459-78X,Communication-Efficient Fully Distributed Optimization of Nonlinear Multiagent Systems Over Jointly Connected Topologies,2026-01-15,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Bo Xu; Yuan-Xin Li,"This article investigates the communication-efficient fully distributed optimization problem (DOP) of networked high-order nonlinear multiagent systems (MASs). First, an optimal signal generator is established for each agent to estimate the optimal solution independent of any global information, which requires neither the communication topology to be connected at every time instant nor the continuous transmission of neighboring information. To achieve this goal, a novel event-triggered mechanism is developed and incorporated with the optimization algorithm to decrease the redundant network signal transmission. Sufficient conditions with Cauchy’s convergence criterion are provided to ensure that the signal generator converges to the optimal solution asymptotically. Then, an adaptive tracking strategy incorporating a novel dynamic event-triggered condition is designed with the output of the optimal signal as the reference signal. The obstacle caused by the unknown nonlinearities is circumvented by utilizing fuzzy logic system (FLS) technique and constructing suitable smooth functions, while the minimal learning parameter technique is adopted to compress fuzzy weights to reduce computational complexity, such that the output of the actual system can asymptotically converge to the desired output. Numerical simulations validate the theoretical results.",13,2,2700,2712,Computer science; Convergence (economics); Nonlinear system; Network topology; Control theory (sociology); Mathematical optimization; Fuzzy logic; Multi-agent system; Transmission (telecommunications); Generator (circuit theory); Optimization problem; SIGNAL (programming language); Fuzzy control system; Nonlinear programming; Topology (electrical circuits); Adaptive system; Lyapunov function; Optimal control; Reinforcement learning,,,,Funds of the National Science of China; Liaoning Revitalization Talents Program,,http://dx.doi.org/10.1109/jiot.2025.3630805,,10.1109/jiot.2025.3630805,,,0,001-477-500-315-637; 005-576-289-096-668; 011-916-113-893-968; 018-646-996-065-02X; 021-773-646-598-598; 023-776-081-063-655; 023-803-341-470-734; 024-420-457-283-103; 032-226-821-953-574; 032-423-893-715-471; 032-835-472-388-485; 039-831-100-335-581; 040-542-009-970-511; 041-999-247-645-796; 046-578-165-717-684; 051-502-395-027-128; 052-267-429-139-11X; 052-890-898-841-344; 053-997-074-796-874; 055-013-273-835-336; 056-855-198-794-26X; 056-932-492-549-229; 060-908-958-509-013; 061-973-609-188-984; 064-055-715-034-061; 065-461-844-801-255; 065-517-486-727-496; 067-546-702-519-604; 069-146-950-608-286; 076-142-157-842-435; 077-255-560-186-359; 086-587-969-300-265; 096-708-404-856-603; 096-921-910-009-792; 097-419-352-297-103; 098-455-127-617-486; 101-249-799-235-068; 108-438-497-696-149; 110-832-407-473-732; 112-689-752-958-929; 120-477-922-421-709; 149-182-815-288-812; 149-272-850-668-932; 157-072-317-128-165; 159-208-305-540-69X; 173-100-482-824-08X; 191-913-976-641-823; 193-265-343-196-344; 195-145-161-474-610; 197-089-593-869-631,0,false,,
114-710-169-861-00X,The Economics of Password Sharing,2026-01-27,2026,journal article,Information Systems Research,10477047; 15265536,Institute for Operations Research and the Management Sciences (INFORMS),United States,Jianqing Chen; Jianchao Sheng,"<jats:p>Password sharing is widespread across subscription-based industries, such as streaming services like Netflix. Although sharing reduces out-of-pocket costs for users, it also creates sharing-related burdens, such as privacy concerns and coordination hassles. We develop a game-theoretic model in which a firm serves two consumer segments—password sharers and nonsharers—to analyze how password sharing affects firm performance and consumer outcomes. Our results show that sharing enables groups of users to “self-bundle” by aggregating their valuations and subscribing through a single shared account. It also creates implicit price discrimination; sharers self-select between sharing and subscribing individually under a uniform price. These mechanisms can increase a firm’s revenue when sharing costs are low. In addition, password sharing reshapes the disparity between sharers and nonsharers. When nonsharers have sufficiently higher willingness to pay, the firm is even more likely to benefit from sharing. However, password sharing poses policy concerns. We find that it reduces social welfare and consumer surplus across a broad range of conditions—especially when sharing costs are moderate. Moreover, the firm’s profit-maximizing strategy, particularly when it chooses to accommodate sharing, often conflicts with what is best for consumers or society. These insights highlight the need for firms to carefully evaluate sharing policies and in some cases, for regulators to intervene to protect consumer welfare.</jats:p>",,,,,Revenue sharing; Business; Password; Revenue; Sharing economy; Economic surplus; Internet privacy; Consumer welfare; Cost sharing; Computer security; Computer science; Welfare; Social Welfare; Microeconomics; Permission; Work (physics); Information sharing; Cloud computing; Time-sharing,,,,,,http://dx.doi.org/10.1287/isre.2024.1313,,10.1287/isre.2024.1313,,,0,003-514-627-030-324; 003-729-373-739-736; 004-721-281-727-121; 011-448-003-428-42X; 014-419-897-557-066; 019-105-859-143-09X; 021-429-390-516-030; 022-311-638-212-181; 026-475-283-394-452; 027-906-553-111-28X; 029-030-741-259-774; 036-413-931-851-543; 036-442-985-587-509; 041-930-048-993-653; 044-067-133-191-297; 045-737-516-706-653; 059-124-714-635-207; 065-411-467-777-580; 066-174-220-915-486; 072-378-959-919-022; 079-974-973-741-086; 080-757-144-256-117; 087-010-768-796-663; 092-794-733-419-98X; 111-797-467-084-523; 126-996-752-002-343; 131-224-230-375-071; 133-312-435-739-898; 150-123-225-268-083; 153-552-384-031-475,0,false,,
114-795-242-685-061,Integrated optimization of non-permutation flow shop scheduling and maintenance under time-varying operating conditions considering quality control,2026-01-28,2026,journal article,Advanced Engineering Informatics,14740346; 18735320,Elsevier BV,United Kingdom,Zhijie Yang; Xinkai Hu; Yibing Li; Kaipu Wang; Shunsheng Guo; Zao Liu,,71,,104388,104388,Flow shop scheduling; Computer science; Scheduling (production processes); Job shop scheduling; Quality (philosophy); Control (management); Reliability engineering; Flow (mathematics); Engineering; Industrial engineering; Mathematical optimization; Control system; Flow control (data),,,,National Natural Science Foundation of China; National Natural Science Foundation of China,,http://dx.doi.org/10.1016/j.aei.2026.104388,,10.1016/j.aei.2026.104388,,,0,003-398-325-641-773; 004-303-861-822-174; 005-230-074-502-798; 009-487-084-568-888; 010-279-807-239-076; 012-355-729-711-05X; 019-638-397-262-538; 020-324-864-359-325; 020-586-116-413-63X; 026-971-015-010-419; 028-118-422-129-155; 030-703-791-401-256; 037-553-735-773-972; 041-318-974-829-94X; 041-620-654-368-774; 042-046-792-731-044; 054-285-857-715-728; 058-603-616-991-795; 064-437-278-236-469; 064-438-217-339-477; 065-868-592-204-431; 069-210-518-132-382; 072-690-511-957-49X; 074-754-634-072-029; 075-566-361-522-407; 081-121-885-325-282; 088-689-533-086-528; 088-884-448-940-199; 088-961-705-408-301; 093-314-348-552-718; 095-743-910-694-966; 105-714-521-382-852; 108-282-852-850-334; 111-580-527-322-654; 117-674-007-296-312; 119-079-022-980-872; 123-514-594-626-455; 130-072-765-648-666; 142-856-527-108-753; 144-109-134-699-015; 153-326-251-531-112; 157-611-063-032-541; 164-717-516-079-799; 165-373-100-045-990; 166-301-367-399-601,0,false,,
114-977-335-449-76X,DeepRMSF: a deep learning-based automated approach for predicting atomic-level flexibility in RNA structure.,2026-01-07,2026,journal article,Briefings in bioinformatics,14774054; 14675463,Oxford University Press (OUP),United Kingdom,Chenjie Feng; Xiaowen Sun; Xintao Song; Lei Bao; Weikang Gong; Renmin Han,"Understanding RNA conformational dynamics is essential to understand its roles in complex biological processes. While computational methods have revolutionized the prediction of static 3D RNA structures, predicting local flexibility directly from structure remains a significant challenge. We developed DeepRMSF, a deep learning-based method that leverages atomic-level descriptions of RNA to predict vibrational flexibility given a tertiary structure. Trained on MD-derived root-mean-square fluctuations(RMSF), DeepRMSF was benchmarked on 371 nonredundant RNAs, with 311 RNAs used for five-fold cross-validation (PCC = 0.7219-0.7464) and 60 RNAs as an independent test set (PCC = 0.734), ensuring minimal sequence/structural similarity between sets. DeepRMSF predicts the local flexibility of medium-sized RNAs (~75 nucleotides) in ~8.2 s, achieving >3000-fold speed-up over MD simulations while maintaining strong extrapolative accuracy. Rather than replacing MD, DeepRMSF offers a scalable and practical alternative for transcriptome-scale screening of RNA flexibility, facilitating studies on RNA structure-dynamics-function relationships and supporting computational modeling in RNA biology.",27,1,,,Flexibility (engineering); RNA; Computer science; Set (abstract data type); Scalability; Computational biology; Nucleic acid structure; Similarity (geometry); Artificial intelligence; Computational model; Test set; Data mining; Nucleic acid secondary structure; Algorithm; Molecular dynamics; Machine learning; RNA-binding protein; Biological system,3D convolutional neural network; RNA dynamics prediction; RNA local flexibility; molecular dynamics simulation,Deep Learning; RNA/chemistry; Nucleic Acid Conformation; Computational Biology/methods; Molecular Dynamics Simulation; Software,RNA,"Shanghai Municipal Science and Technology Major Project (2018SHZDZX01); University-level scientific research project of Ningxia Medical University (XT2022024); University-level scientific research project of Ningxia Medical University (XJKF230109); Natural Science Foundation of Ningxia Province (2023AAC05036); Natural Science Foundation of Ningxia Province (2024YCZX0041); Natural Science Foundation of Ningxia Province (2024AAC03247); Natural Science Foundation of Shandong Province ZR2023YQ057, Cultivating Project for Young Scholar at Hubei University of Medicine (2020QDJZR015); Postdoctoral Fellowship Program (Crade B) (GZB20230084); Chinese Academy of Medical Sciences & Peking Union Medical College, Union Medical College Young Scholar Support Program (2023086); National Natural Science Foundation of China Projects (62072280); National Natural Science Foundation of China Projects (32241027); National Natural Science Foundation of China Projects (61932018); National Natural Science Foundation of China Projects (62072441); National Key Research and Development Program of China (2021YFF0704300)",https://pmc.ncbi.nlm.nih.gov/articles/PMC12798811/pdf/bbaf720.pdf https://pmc.ncbi.nlm.nih.gov/articles/PMC12798811/,http://dx.doi.org/10.1093/bib/bbaf720,41529119,10.1093/bib/bbaf720,,PMC12798811,0,000-239-333-609-661; 002-748-249-190-683; 002-834-009-575-18X; 004-901-677-927-873; 007-191-993-449-610; 009-795-303-680-875; 011-253-051-461-777; 016-361-613-541-446; 016-972-092-157-459; 018-355-719-373-622; 019-443-291-932-388; 020-293-146-176-760; 026-761-702-606-147; 030-539-225-935-761; 031-256-148-642-813; 034-475-209-161-992; 034-898-814-510-753; 038-074-987-475-718; 040-656-831-879-97X; 043-797-323-213-31X; 046-958-935-744-983; 049-458-012-084-866; 051-147-054-547-383; 051-488-283-249-801; 053-085-717-713-621; 053-633-860-600-085; 055-479-381-208-772; 057-930-890-389-408; 059-779-778-163-680; 064-285-653-613-300; 065-288-782-687-613; 067-785-655-584-857; 068-492-093-172-89X; 069-611-642-963-965; 076-112-187-878-802; 096-228-298-297-496; 097-255-220-954-02X; 099-964-072-925-204; 102-406-835-771-662; 114-351-678-912-264; 118-780-453-187-568; 133-637-240-319-098; 133-923-415-134-800; 149-467-954-975-136; 167-421-793-878-886; 192-709-275-519-946,0,true,"CC BY, CC BY-NC",gold
115-446-491-344-568,ShipSafe: linguistic and conceptual representation in a corpus-based domain ontology-informed e-glossary of shipboard life-saving appliances,2026-01-21,2026,journal article,Digital Scholarship in the Humanities,20557671; 2055768x,Oxford University Press (OUP),United States,María-Araceli Losey-León,"<jats:title>Abstract</jats:title>;                   <jats:p>This paper analyses theoretical-practical and methodological aspects involved in termontographic article design for an electronic glossary (e-glossary) and proposes a macro- and microstructural layout. We claim that the application of domain ontologies based on corpus-terminological databases can pave the way for the generation of e-glossaries that provide their users with both semasiological and onomasiological access routes and that, in turn, this mixed arrangement seems to be a straightforward way to meet users’ needs with different degrees of domain expertise from the specialized communication field of maritime navigation and transport, from maritime-related fields and from specialized language professions. The research methodology applied is based on an empirical-analytical and hypothetico-deductive framework, with a bottom-up and top-down approach to the linguistic analysis of noun patterns and to the design and development of the conceptual framework. It comprises a sequence of linked phases and a pipeline of actions that subsumes the corpus extraction of linguistic and conceptual information that is transferred to a terminological database before its formalization in an ontology editor and its implementation as an electronic glossary. The result outcomes, ShipSafe: A Termontological Bilingual e-Glossary of the Life-Saving Appliances aboard a Ship (English-Spanish), fills a gap in the existing resources of this domain, and contributes a procedure for the application of specialized corpus and domain ontology to enriching the representation, organization, and description of specialized languages.</jats:p>",,,,,Ontology; Computer science; Domain (mathematical analysis); Field (mathematics); Glossary; Representation (politics); Pipeline (software); Natural language processing; Noun; Artificial intelligence; Knowledge representation and reasoning; Semantics (computer science); Terminology; Conceptual model; Sequence (biology); Web Ontology Language; Linguistics; Information retrieval; Thesaurus; Domain knowledge; Information extraction; Domain model,,,,Universidad de Cádiz/CBUA,,http://dx.doi.org/10.1093/llc/fqaf142,,10.1093/llc/fqaf142,,,0,005-632-313-525-471; 013-354-043-933-741; 016-078-564-734-079; 030-136-936-524-671; 040-748-095-258-38X; 042-049-051-568-300; 049-721-240-863-816; 058-161-002-414-605; 060-644-881-434-909; 064-290-007-775-029; 066-362-597-528-716; 069-127-140-359-122; 073-148-722-138-781; 090-980-616-077-104; 099-921-070-607-78X; 117-445-326-353-143; 122-940-640-567-608; 135-807-482-654-421; 137-523-552-708-850; 156-896-390-490-916; 169-328-365-176-26X,0,false,,
115-554-733-788-662,"A Transformation‐Based Direction Combination Association Test for
                    <scp>GWAS</scp>
                    Summary Statistics",2026-01-29,2026,journal article,Statistical Analysis and Data Mining: An ASA Data Science Journal,19321864; 19321872,Wiley,United States,Yingfang Liu; Deliang Bu; Yanbo Pei,"<jats:title>ABSTRACT</jats:title>;                   <jats:p>Genome‐wide association study (GWAS) has identified many genetic variants associated with complex diseases. Traditionally, GWAS tests the association between a single variant and a single trait. Gene‐based methods utilize the fact that multiple SNPs function as a gene to affect traits, extending GWAS to test the association between a trait and multiple variants. Nowadays, only summary statistics instead of individual‐level data from GWAS are publicly available due to privacy limits. Existing summary statistics for gene‐based methods may lead to power loss under the opposite signs of effect coefficients. In this paper, we develop a novel gene‐based transformed test addressing this defect. Instead of directly building test statistics using Wald test statistics, we transform Wald test statistics back into true effect coefficients based on their relationship. Then, we propose an ensemble test to produce robustness under various alternative hypotheses. Extensive simulations show that our proposed method demonstrates high power compared to existing methods. Analysis of real data on polyunsaturated fatty acids shows that our method can identify additional genetic markers previously undetected by other methods.</jats:p>",19,1,,,Statistics; Wald test; Genome-wide association study; Robustness (evolution); Genetic association; Association (psychology); Statistical hypothesis testing; Power analysis; Score test; Summary statistics; Trait; Statistical power; Computer science; Association test; Data mining; Mathematics; Multiple comparisons problem; Test (biology); Robust statistics; Test data; Power function; Sample size determination,,,,National Natural Science Foundation of China; Capital University of Economics and Business,,http://dx.doi.org/10.1002/sam.70065,,10.1002/sam.70065,,,0,000-731-744-778-907; 002-579-496-683-288; 003-320-625-919-052; 006-726-197-531-332; 007-425-258-076-423; 007-618-277-545-214; 007-667-787-286-786; 010-894-949-891-013; 013-130-680-494-195; 013-252-584-505-814; 015-286-927-570-705; 017-492-777-162-289; 017-976-736-127-04X; 018-731-090-703-87X; 018-940-585-199-450; 022-246-013-439-134; 027-830-291-827-836; 027-841-035-095-81X; 028-284-681-063-262; 031-735-779-184-626; 033-584-852-511-409; 036-281-359-146-402; 036-897-121-133-826; 039-812-102-431-717; 040-310-860-322-902; 042-763-105-486-414; 043-978-408-932-746; 044-357-755-110-725; 045-712-045-816-096; 050-034-964-178-575; 052-188-653-969-438; 052-235-283-953-63X; 053-370-563-090-523; 055-576-839-893-850; 055-883-529-766-776; 058-880-127-875-959; 068-216-243-702-980; 082-751-409-402-745; 085-624-907-851-743; 095-344-558-612-504; 096-050-775-809-242; 099-527-051-739-124; 101-474-541-163-707; 103-472-254-931-914; 118-221-233-887-481; 123-498-859-171-509; 124-627-193-157-894; 126-550-652-294-389; 133-317-593-237-431; 140-166-236-181-829,0,false,,
115-677-162-136-619,Assessing fall risk in construction: Effects of a passive back support exoskeleton during slip and trip perturbations,2026-01-06,2026,journal article,Advanced Engineering Informatics,14740346; 18735320,Elsevier BV,United Kingdom,Masood Khan; JoonOh Seo; Maxwell Fordjour Antwi-Afari; Yuan Zhou; Yue Gong,,71,,104296,104296,Exoskeleton; Physical medicine and rehabilitation; Treadmill; Engineering; Hip flexion; Slip (aerodynamics); Ground reaction force; Simulation; Manual handling; Structural engineering; Joint (building); Medicine; Backpack; Biomechanics; Preferred walking speed; Research Object; Physical therapy; STRIDE; Risk analysis (engineering); Lower body; Ceiling (cloud); Electromyography; Computer science,,,,Hong Kong Polytechnic University,,http://dx.doi.org/10.1016/j.aei.2025.104296,,10.1016/j.aei.2025.104296,,,0,001-796-876-101-352; 003-742-206-162-219; 004-258-001-363-473; 005-803-047-935-390; 006-635-819-665-420; 014-521-800-434-977; 015-611-272-138-925; 015-660-695-138-952; 016-867-303-050-172; 017-937-617-514-088; 018-712-992-732-65X; 020-808-150-394-63X; 020-879-677-559-275; 021-112-868-164-367; 023-186-242-023-890; 024-863-672-119-624; 024-881-272-408-290; 026-038-964-265-669; 027-311-053-201-825; 028-352-857-527-414; 028-662-933-206-561; 028-683-018-300-418; 029-749-446-453-803; 030-620-725-735-254; 031-421-651-081-247; 033-080-159-626-997; 033-753-138-374-616; 035-358-634-516-495; 037-974-625-816-498; 037-976-387-821-097; 040-434-225-530-985; 041-136-103-127-355; 042-267-043-776-391; 042-755-600-726-366; 048-385-193-101-395; 053-033-429-002-265; 053-260-646-059-76X; 053-261-023-094-90X; 053-654-526-676-693; 054-033-254-501-965; 055-947-202-020-606; 058-383-766-511-636; 058-792-348-513-548; 064-644-755-635-975; 064-706-729-319-072; 065-685-486-021-226; 067-795-909-551-57X; 071-263-924-231-184; 072-690-529-962-879; 076-098-637-779-724; 077-083-785-454-635; 079-757-107-939-28X; 084-888-051-835-932; 087-791-740-827-661; 091-284-264-163-734; 091-543-373-809-673; 092-413-982-700-252; 094-785-483-548-364; 095-969-234-303-828; 096-258-806-425-034; 097-000-019-775-113; 105-419-311-371-627; 105-979-500-468-909; 108-427-002-843-212; 109-246-894-613-554; 121-626-796-578-344; 121-890-490-167-262; 124-757-793-694-47X; 128-750-351-306-488; 129-850-309-656-112; 129-988-948-614-412; 134-465-261-097-189; 134-520-476-774-588; 140-446-637-639-294; 142-218-505-104-173; 154-521-541-721-897; 169-964-301-469-570; 173-101-489-180-509; 176-478-495-169-92X; 185-859-377-485-249; 190-706-099-850-595; 193-235-237-789-480,0,false,,
115-795-248-673-260,Behavioral and electroencephalographic dataset simultaneously acquired during the Iowa gambling task.,2026-02-05,2026,journal article,Scientific data,20524463,Springer Science and Business Media LLC,United Kingdom,Manuel Chávez-Sánchez; Sulema Torres-Ramos; Israel Román-Godínez; Ricardo A Salido-Ruiz,"This dataset contains behavioral and electroencephalographic (EEG) data collected simultaneously from 59 participants during the execution of the Iowa Gambling Task (IGT). It includes demographic general information (sex, age, and field of study), performance-related data from the IGT (decision, reaction times, wins, losses, and total credits), and the corresponding EEG recordings (21 electrodes in 10-20 system).",13,1,,,Task (project management); Electroencephalography; Iowa gambling task; Psychology; Cognitive psychology; Field (mathematics); Audiology; Computer science; Event-related potential; Artificial intelligence,,,,"Consejo Nacional de Ciencia y Tecnología (National Council of Science and Technology, Mexico) (CVU 1184330)",https://www.nature.com/articles/s41597-026-06662-0_reference.pdf https://doi.org/10.1038/s41597-026-06662-0,http://dx.doi.org/10.1038/s41597-026-06662-0,41639078,10.1038/s41597-026-06662-0,,,0,008-393-092-899-990; 013-572-612-921-130; 014-050-458-266-040; 018-856-533-609-014; 022-032-670-300-614; 022-626-586-458-273; 025-213-280-981-639; 027-373-042-077-068; 030-078-922-727-467; 031-348-669-651-297; 034-032-660-490-552; 037-311-098-941-758; 037-456-064-497-676; 038-094-845-958-43X; 038-633-616-372-179; 043-282-023-856-898; 044-624-286-096-871; 058-276-964-132-326; 074-066-229-042-695; 078-335-348-227-228; 085-171-500-361-161; 094-953-275-884-291; 114-783-213-670-196; 116-190-713-945-351,0,true,"CC BY, CC BY-NC-ND",gold
115-826-608-355-290,Rethink: reveal the impact of semantic distribution transfer from the cross-modal hashing perspective,2026-01-06,2026,journal article,Information Fusion,15662535; 18726305,Elsevier BV,Netherlands,Yinan Li; Zhi Liu; Jiajun Tang; Binghong Chen; Mingjin Kuai; Jun Long; Zhan Yang,,130,,104123,104123,Computer science; Hash function; Feature hashing; Artificial intelligence; Universal hashing; Feature learning; Dynamic perfect hashing; Semantic feature; Information retrieval; Feature (linguistics); Locality-sensitive hashing; Transfer of learning; Semantic similarity; Feature vector; Machine learning; Double hashing; Semantics (computer science); Hash table; Binary code; Theoretical computer science; Image retrieval; Semantic heterogeneity; Representation (politics); Pattern recognition (psychology); Data mining; Semantic data model; Semantic equivalence,,,,National Natural Science Foundation of China; Hunan Provincial Natural Science Foundation,,http://dx.doi.org/10.1016/j.inffus.2026.104123,,10.1016/j.inffus.2026.104123,,,0,007-643-379-173-348; 010-373-953-962-271; 011-172-696-278-924; 014-023-283-094-545; 015-063-175-189-638; 027-119-809-555-966; 031-999-948-007-84X; 042-851-035-321-998; 046-188-596-968-721; 047-207-782-243-625; 050-842-287-845-590; 052-071-045-975-106; 058-207-720-253-640; 058-584-737-762-218; 058-775-648-056-823; 078-074-439-759-892; 106-741-082-106-337; 107-597-519-694-403; 109-321-391-597-924; 112-011-742-645-110; 112-073-498-266-816; 129-460-611-069-628; 133-880-823-640-430; 136-756-252-099-96X; 136-913-892-485-849; 140-090-208-095-642; 148-494-453-878-28X; 167-364-318-808-346; 168-775-127-466-542; 186-340-378-589-336,0,false,,
115-838-843-380-603,MCIVA: A multi-view pedestrian detection framework with a central inverse nearest neighbor map and a view adaptive module,2026-01-11,2026,journal article,Information Fusion,15662535; 18726305,Elsevier BV,Netherlands,He Li; Taiyu Liao; Weihang Kong; Xingchen Zhang,"• We proposed a method to generate ground-truth map in multiview pedestrian detection • We proposed a local structural similarity loss to improve pedestrian detection • We designed a view adaptive module to further improve detecting pedestrians • Extensive results on two datasets demonstrated the effectiveness of our method Multi-view pedestrian detection is an important task and has many applications in areas such as surveillance and smart cities. Despite the significant performance improvements achieved in recent multi-view pedestrian detection methods, there are still three main challenges for this task. 1) In crowded areas, neighboring connected components may merge in dense regions, resulting in unclear localization of pixel peaks for each pedestrian. 2) The loss functions used in previous multi-view pedestrian detection methods have a high response to the background. 3) The camera parameters have not been fully utilized; they are only used to generate a fixed-value projection matrix. To address these challenges, we propose a novel multi-view pedestrian detection framework with Central Inverse Nearest Neighbor map and View Adaptive Module ( MCIVA ). A Central Inverse Nearest Neighbor (CINN) map is introduced to generate the ground-truth Probability Occupancy Map (POM) based on annotations, providing more precise location information for each pedestrian. To enhance the model’s attention to local structural information, we propose a local structural similarity loss to reduce the influence of false local maximum in background regions. Moreover, a novel plug-and-pull View Adaptive Module (VAM) is introduced to utilize the camera parameters to generate learnable weights for multi-view features fusion. We evaluate the proposed method on three benchmark datasets, and the results show that the proposed MCIVA significantly improves the quality of prediction map and achieves state-of-the-art performance.",131,,104142,104142,Computer science; Pedestrian detection; Artificial intelligence; Pedestrian; k-nearest neighbors algorithm; Computer vision; Pattern recognition (psychology); Merge (version control); Pixel; Similarity (geometry); Inverse; Object detection; Robustness (evolution); Nearest neighbor search; Best bin first; Data mining; Similarity measure; Classifier (UML); Boosting (machine learning); Saliency map,,,,National Natural Science Foundation of China; National Natural Science Foundation of China; The Royal Society; Natural Science Foundation of Hebei Province; Natural Science Foundation of Hebei Province,,http://dx.doi.org/10.1016/j.inffus.2026.104142,,10.1016/j.inffus.2026.104142,,,0,015-091-142-578-838; 035-893-674-370-480; 053-897-025-360-793; 058-811-799-030-597; 059-198-523-534-00X; 066-328-747-369-011; 077-894-494-235-730; 087-810-953-422-052; 102-985-521-605-708; 118-003-651-525-250; 141-191-462-030-886; 149-511-155-796-604; 196-771-885-441-691,0,true,cc-by,hybrid
116-030-627-935-891,Decoding Rank Metric Reed–Muller Codes,,2026,journal article,IEEE Transactions on Information Theory,00189448; 15579654,Institute of Electrical and Electronics Engineers (IEEE),United States,Alain Couvreur; Rakhi Pratihar,"In this article, we investigate the decoding of the rank metric Reed–Muller codes introduced by Augot, Couvreur, Lavauzelle and Neri in 2021. These codes are defined from Abelian Galois extensions extending the construction of Gabidulin codes over arbitrary cyclic Galois extensions. We propose a polynomial time algorithm that rests on the structure of Dickson matrices, works on any such code and corrects any error of rank up to half the minimum distance.",72,2,1011,1029,Rank (graph theory); Decoding methods; Metric (unit); Reed–Muller code; List decoding; Code (set theory); Mathematics; Berlekamp–Welch algorithm; Computer science; Reed–Solomon error correction; Polynomial; Sequential decoding; Block code; Algorithm; Discrete mathematics; Linear code; Concatenated error correction code; Combinatorics; Engineering; Programming language; Operations management; Set (abstract data type); Mathematical analysis,,,,French Agence Nationale de la Recherche through France 2030 ANR Project; French Grant ANR Project; Horizon-Europe MSCA-DN Project ENCODE,https://arxiv.org/pdf/2501.04766 http://arxiv.org/abs/2501.04766,http://dx.doi.org/10.1109/tit.2025.3638021,,10.1109/tit.2025.3638021,,,0,001-789-541-041-540; 005-235-270-363-118; 005-457-324-633-560; 012-787-426-335-041; 015-636-048-517-50X; 016-120-883-337-296; 018-372-265-370-674; 021-983-807-697-382; 028-230-730-429-694; 031-945-950-363-241; 044-713-234-169-412; 046-148-428-811-286; 048-880-368-475-216; 053-313-621-476-053; 054-184-052-735-18X; 057-701-096-818-405; 063-541-827-760-997; 067-425-633-585-817; 069-754-608-442-814; 076-122-081-740-839; 083-602-639-365-326; 089-528-519-463-832; 090-662-231-653-293; 108-926-784-031-732; 116-102-086-205-06X; 118-380-841-717-409; 119-490-329-765-202; 120-874-845-456-391; 127-394-140-073-229; 138-310-038-160-834; 146-874-409-380-144; 149-467-677-839-311; 193-624-650-907-072,0,true,,green
116-117-314-799-632,Cycle-Time Configuration for Parallel Processing Systems via Max-Plus Algebra.,2026-02-06,2026,journal article,IEEE transactions on cybernetics,21682275; 21682267,Institute of Electrical and Electronics Engineers (IEEE),United States,Jin Wang; Hongjiu Yang; Yuanqing Xia; Zhiqiang Zuo,"In this article, cycle-time configuration is realized using max-plus algebra for a parallel processing system via a synchronous feedback controller. As a key efficiency metric of parallel processing systems, throughput is determined by cycle time, which is threatened by clock asynchrony and the curse of dimensionality. Using instruction dependency and weak linear independence, the parallel processing system is equivalent to a max-plus nonautonomous system to mitigate the curse of dimensionality caused by numerous processing tasks. Based on the max-plus nonautonomous system, the cycle-time configuration is achieved via a synchronous feedback controller while adhering to time restrictions of the parallel processing system. Numerical simulations validate the effectiveness of the proposed cycle-time configuration in parallel processing systems.",PP,,1,11,Parallel processing; Computer science; Curse of dimensionality; Parallel computing; Metric (unit); Linear algebra; Throughput; Data processing; Signal processing; Key (lock); Concurrent computing; Parallel algorithm; FLOPS; Algebra over a field; Algorithm; Linear system; Numerical linear algebra; Synchronization (alternating current); Algebraic number; Dependency (UML); Control system; Asynchronous communication; Controller (irrigation); Performance metric; Theoretical computer science; Asynchrony (computer programming); Data processing system,,,,National Natural Science Foundation of China; National Natural Science Foundation of China; Natural Science Foundation of Hebei Province,,http://dx.doi.org/10.1109/tcyb.2026.3655692,41650413,10.1109/tcyb.2026.3655692,,,0,,0,false,,
